# Annotation Gene Product Summary
# Tool: Prokka
# Bins analyzed: 10
# Total CDS: 35219
# Hypothetical proteins: 20031 (56.9% of CDS)
# Annotated CDS: 15188
# Top 100 annotated gene products shown
#
rank	count	percent_of_total_cds	product	gene_name	function	keywords
1	219	0.62%	putative protein	—	Capsid protein that assembles with the capsid proteins VP1 and VP3 to form a pseudo-T3 icosahedral capsid of about 40 nm.	3D-structure|ATP-binding|Capsid protein|Direct protein sequencing|Helicase|Hydrolase|Nucleotide-binding|Nucleotidyltransferase|Protease|Reference proteome|RNA-directed RNA polymerase|Thiol protease|Transferase|Viral RNA replication|Virion
2	74	0.21%	Adaptive-response sensory-kinase SasA	sasA	Member of the two-component regulatory system SasA/RpaA involved in genome-wide circadian gene expression.	3D-structure|ATP-binding|Biological rhythms|Kinase|Nucleotide-binding|Phosphoprotein|Reference proteome|Transferase|Two-component regulatory system
3	68	0.19%	Sensor histidine kinase RcsC	rcsC	Component of the Rcs signaling system, which controls transcription of numerous genes.	3D-structure|ATP-binding|Capsule biogenesis/degradation|Cell inner membrane|Cell membrane|Kinase|Membrane|Nucleotide-binding|Phosphoprotein|Reference proteome|Transferase|Transmembrane|Transmembrane helix|Two-component regulatory system
4	49	0.14%	High-affinity branched-chain amino acid transport ATP-binding protein LivF	livF	Component of the leucine-specific transport system.	Amino-acid transport|ATP-binding|Nucleotide-binding|Reference proteome|Transport
5	47	0.13%	High-affinity branched-chain amino acid transport system permease protein LivH	livH	Part of the binding protein-dependent transport system for branched-chain amino acids.	Amino-acid transport|Cell inner membrane|Cell membrane|Membrane|Reference proteome|Transmembrane|Transmembrane helix|Transport
6	45	0.13%	Vitamin B12 import ATP-binding protein BtuD	btuC	Part of the ABC transporter complex BtuCDF involved in vitamin B12 import.	3D-structure|Cell inner membrane|Cell membrane|Membrane|Reference proteome|Transmembrane|Transmembrane helix|Transport
7	44	0.12%	D-inositol-3-phosphate glycosyltransferase	mshA	Catalyzes the transfer of a N-acetyl-glucosamine moiety to 1D-myo-inositol 3-phosphate to produce 1D-myo-inositol 2-acetamido-2-deoxy-glucopyranoside 3-phosphate in the mycothiol biosynthesis pathway.	Glycosyltransferase|Magnesium|Metal-binding|Transferase
8	44	0.12%	Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase	iolG	Involved in the oxidation of myo-inositol (MI) and D-chiro-inositol (DCI) to 2-keto-myo-inositol (2KMI or 2-inosose) and 1-keto-D-chiro-inositol (1KDCI), respectively.	NAD|Oxidoreductase
9	44	0.12%	ATP-binding protein Uup	uup	Probably plays a role in ribosome assembly or function; overexpression suppresses cold-sensitive growth of a bipA deletion (Probable) (Ref.	3D-structure|ATP-binding|Coiled coil|Cytoplasm|Direct protein sequencing|DNA damage|DNA repair|DNA-binding|Hydrolase|Nucleotide-binding|Protein biosynthesis|Reference proteome|Repeat
10	41	0.12%	3-oxoacyl-[acyl-carrier-protein] reductase FabG	—	—	—
11	39	0.11%	Tyrosine recombinase XerC	xerC	Site-specific tyrosine recombinase, which acts by catalyzing the cutting and rejoining of the recombining DNA molecules.	Cell cycle|Cell division|Chromosome partition|Cytoplasm|DNA integration|DNA recombination|DNA-binding|Reference proteome
