locus_tag	ftype	length_bp	gene	EC_number	COG	product
ILCLPFNH_00001	CDS	303			COG1702	PhoH-like protein
ILCLPFNH_00002	CDS	450	ybeY	3.1.-.-	COG0319	Endoribonuclease YbeY
ILCLPFNH_00003	CDS	1332				hypothetical protein
ILCLPFNH_00004	CDS	1200	eis_1	2.3.1.-		N-acetyltransferase Eis
ILCLPFNH_00005	CDS	339				hypothetical protein
ILCLPFNH_00006	tRNA	76				tRNA-Pro(cgg)
ILCLPFNH_00007	CDS	906				hypothetical protein
ILCLPFNH_00008	CDS	2700	mtgA_1	2.4.99.28		Biosynthetic peptidoglycan transglycosylase
ILCLPFNH_00009	CDS	333				hypothetical protein
ILCLPFNH_00010	CDS	1173	bagB	3.6.1.-	COG0003	ATPase BagB
ILCLPFNH_00011	CDS	975	bagA	3.6.1.-	COG0003	ATPase BagA
ILCLPFNH_00012	CDS	1422				hypothetical protein
ILCLPFNH_00013	CDS	855				hypothetical protein
ILCLPFNH_00014	CDS	285	whiB_1			Transcriptional regulator WhiB
ILCLPFNH_00015	CDS	501				hypothetical protein
ILCLPFNH_00016	CDS	306				hypothetical protein
ILCLPFNH_00017	CDS	393				hypothetical protein
ILCLPFNH_00018	CDS	138				hypothetical protein
ILCLPFNH_00019	CDS	483				hypothetical protein
ILCLPFNH_00020	CDS	1083				hypothetical protein
ILCLPFNH_00021	CDS	1323				hypothetical protein
ILCLPFNH_00022	CDS	924				hypothetical protein
ILCLPFNH_00023	CDS	876				hypothetical protein
ILCLPFNH_00024	CDS	2376	cutL_1	1.2.5.3		Carbon monoxide dehydrogenase large chain
ILCLPFNH_00025	CDS	483	coxS_1	1.2.5.3		Carbon monoxide dehydrogenase small chain
ILCLPFNH_00026	CDS	882	cutM	1.2.5.3		Carbon monoxide dehydrogenase medium chain
ILCLPFNH_00027	CDS	663	ermD	2.1.1.-		rRNA adenine N-6-methyltransferase
ILCLPFNH_00028	CDS	294				hypothetical protein
ILCLPFNH_00029	CDS	789				hypothetical protein
ILCLPFNH_00030	CDS	879				hypothetical protein
ILCLPFNH_00031	CDS	1605				hypothetical protein
ILCLPFNH_00032	CDS	363				hypothetical protein
ILCLPFNH_00033	CDS	1071				hypothetical protein
ILCLPFNH_00034	CDS	489				hypothetical protein
ILCLPFNH_00035	CDS	2172				hypothetical protein
ILCLPFNH_00036	CDS	1692	XPB	5.6.2.4	COG1061	DNA 3'-5' helicase XPB
ILCLPFNH_00037	CDS	333				hypothetical protein
ILCLPFNH_00038	CDS	258				hypothetical protein
ILCLPFNH_00039	CDS	255				hypothetical protein
ILCLPFNH_00040	CDS	789				hypothetical protein
ILCLPFNH_00041	CDS	912				hypothetical protein
ILCLPFNH_00042	CDS	1083	potA_1	7.6.2.11	COG3842	Spermidine/putrescine import ATP-binding protein PotA
ILCLPFNH_00043	CDS	1194				hypothetical protein
ILCLPFNH_00044	CDS	639				hypothetical protein
ILCLPFNH_00045	CDS	132				hypothetical protein
ILCLPFNH_00046	CDS	414				hypothetical protein
ILCLPFNH_00047	CDS	249				hypothetical protein
ILCLPFNH_00048	CDS	642	nreC_1		COG2197	Oxygen regulatory protein NreC
ILCLPFNH_00049	CDS	405				hypothetical protein
ILCLPFNH_00050	CDS	564				hypothetical protein
ILCLPFNH_00051	CDS	1380	gcvPA	1.4.4.2	COG0403	putative glycine dehydrogenase (decarboxylating) subunit 1
ILCLPFNH_00052	CDS	786				hypothetical protein
ILCLPFNH_00053	CDS	540				hypothetical protein
ILCLPFNH_00054	CDS	519			COG0789	putative HTH-type transcriptional regulator
ILCLPFNH_00055	CDS	3159				hypothetical protein
ILCLPFNH_00056	CDS	915		1.1.1.343	COG1023	6-phosphogluconate dehydrogenase, NAD(+)-dependent, decarboxylating
ILCLPFNH_00057	CDS	912				hypothetical protein
ILCLPFNH_00058	CDS	189				hypothetical protein
ILCLPFNH_00059	CDS	1107	rsxB	7.-.-.-		Ion-translocating oxidoreductase complex subunit B
ILCLPFNH_00060	CDS	627				hypothetical protein
ILCLPFNH_00061	CDS	957	deoC	4.1.2.4		Deoxyribose-phosphate aldolase
ILCLPFNH_00062	CDS	1095				hypothetical protein
ILCLPFNH_00063	CDS	1476				hypothetical protein
ILCLPFNH_00064	CDS	783				hypothetical protein
ILCLPFNH_00065	CDS	861				hypothetical protein
ILCLPFNH_00066	CDS	1305	qcrB_1	7.1.1.8	COG1290	Cytochrome bc1 complex cytochrome b subunit
ILCLPFNH_00067	CDS	948	ctaC_1	7.1.1.9	COG1622	Cytochrome c oxidase subunit 2
ILCLPFNH_00068	CDS	1887	ctaD	7.1.1.9		Cytochrome c oxidase subunit 1
ILCLPFNH_00069	CDS	615				hypothetical protein
ILCLPFNH_00070	CDS	507				hypothetical protein
ILCLPFNH_00071	CDS	1194				hypothetical protein
ILCLPFNH_00072	CDS	1311	ndhA_1	1.6.5.9	COG1252	Type II NADH:quinone oxidoreductase NdhA
ILCLPFNH_00073	CDS	873				hypothetical protein
ILCLPFNH_00074	CDS	828				hypothetical protein
ILCLPFNH_00075	CDS	93				hypothetical protein
ILCLPFNH_00076	CDS	903	degQ	3.4.21.107	COG0265	Periplasmic pH-dependent serine endoprotease DegQ
ILCLPFNH_00077	CDS	444				hypothetical protein
ILCLPFNH_00078	CDS	774	ygfF	1.-.-.-	COG1028	putative oxidoreductase YgfF
ILCLPFNH_00079	CDS	699				hypothetical protein
ILCLPFNH_00080	CDS	114				hypothetical protein
ILCLPFNH_00081	CDS	1152	mshC	6.3.1.13	COG0215	L-cysteine:1D-myo-inositol 2-amino-2-deoxy-alpha-D-glucopyranoside ligase
